word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.96253330000036,None,18.96253330000036,None,-0.05462962962962963,-0.2611111111111111,1,0,0,0.6066744999989169,imgStart,0.0056932200022856705,None,,,,,,,,,,,,,,,,,,,,,,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
آبی,red,0,imgRed,0,0,0,2,,,,,,,,,,,,,,19.612361500003317,None,19.612361500003317,None,19.612361500003317,None,19.612361500003317,None,19.612361500003317,None,-0.03148148148148148,-0.15462962962962962,1,0,0,0.9941519999993034,imgRed,0.008209760002500843,None,20.64563260000432,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
قرمز,red,1,imgRed,0,1,1,0,,,,,,,,,,,,,,21.67874400000437,None,21.67874400000437,None,21.67874400000437,None,21.67874400000437,None,21.67874400000437,None,-0.03148148148148148,-0.15462962962962962,1,0,0,0.9749286999940523,imgRed,0.006696980002743658,None,22.645386700001836,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
آبی,blue,1,imgBlue,0,2,2,3,,,,,,,,,,,,,,23.67901420000271,None,23.67901420000271,None,23.67901420000271,None,23.67901420000271,None,23.67901420000271,None,0.003703703703703704,-0.15833333333333333,1,0,0,0.7116282999995747,imgBlue,0.010477880001417361,None,24.3783689999982,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
سبز,green,1,imgGreen,0,3,3,4,,,,,,,,,,,,,,25.394821000001684,None,25.394821000001684,None,25.394821000001684,None,25.394821000001684,None,25.394821000001684,None,0.02962962962962963,-0.1574074074074074,1,0,0,1.1852259000006597,imgGreen,0.0007650400002603419,None,26.57801019999897,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
سبز,yellow,0,imgYellow,0,4,4,5,,,,,,,,,,,,,,27.59444230000372,None,27.59444230000372,None,27.59444230000372,None,27.59444230000372,None,27.59444230000372,None,0.06388888888888888,-0.1574074074074074,1,0,0,0.9133065999994869,imgYellow,0.012487479994888417,None,28.511046100000385,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
زرد,green,0,imgGreen,0,5,5,6,,,,,,,,,,,,,,29.544195900001796,None,29.544195900001796,None,29.544195900001796,None,29.544195900001796,None,29.544195900001796,None,0.03333333333333333,-0.15648148148148147,1,0,0,0.6771354000011343,imgGreen,0.008513180000591092,None,30.210639900004026,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
زرد,yellow,1,imgYellow,0,6,6,7,,,,,,,,,,,,,,31.24488669999846,None,31.24488669999846,None,31.24488669999846,None,31.24488669999846,None,31.24488669999846,None,0.022222222222222223,-0.1574074074074074,1,0,0,0.8465776000011829,imgGreen,0.011480079992907122,None,32.0770651999992,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
قرمز,blue,0,imgBlue,0,7,7,1,,,,,,,,,,,,,,33.093510600003356,None,33.093510600003356,None,33.093510600003356,None,33.093510600003356,None,33.093510600003356,None,-0.003703703703703704,-0.15925925925925927,1,0,0,0.6978596999979345,imgBlue,0.012259780000022147,None,33.79421790000197,None,o,o,o,o,001,2021_Jan_12_1409,stroopExperiment,2020.2.10,60.007584957988215,
