word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.started,mouse.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.4209649000004,None,16.4209649000004,None,-0.046296296296296294,-0.24351851851851852,1,0,0,0.9898000000002867,imgStart,0.008184360000996094,None,,,,,,,,,,,,,d,d,dd,d,001,2021_Jan_12_2025,آزمون آنلاین استروپ استاندارد,2020.2.10,60.25374055205442,
سبز,green,1,imgGreen,0,0,0,10,,,,,,,,,,,,,,17.454226000000745,None,17.454226000000745,None,17.454226000000745,None,17.454226000000745,None,17.454226000000745,None,0.013611999999739055,None,d,d,dd,d,001,2021_Jan_12_2025,آزمون آنلاین استروپ استاندارد,2020.2.10,60.25374055205442,
