word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.85571930000151,None,15.85571930000151,None,-0.023148148148148147,-0.24722222222222223,1,0,0,0.715793900002609,imgStart,0.012802780001948122,None,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
آبی,red,0,imgRed,0,0,0,2,,,,,,,,,,,,,,16.655713899999682,None,16.655713899999682,None,16.655713899999682,None,16.655713899999682,None,16.655713899999682,None,-0.03425925925925926,-0.15925925925925927,1,0,0,1.1401277999975719,imgRed,0.004854220002016518,None,17.82271960000071,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
سبز,yellow,0,imgYellow,0,1,1,5,,,,,,,,,,,,,,18.856050399997912,None,18.856050399997912,None,18.856050399997912,None,18.856050399997912,None,18.856050399997912,None,0.030555555555555555,-0.15185185185185185,1,0,0,1.5426985000012792,imgGreen,0.007845939995604567,None,20.421625299997686,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
آبی,blue,1,imgBlue,0,2,2,3,,,,,,,,,,,,,,21.438262799994845,None,21.438262799994845,None,21.438262799994845,None,21.438262799994845,None,21.438262799994845,None,-0.005555555555555556,-0.15833333333333333,1,0,0,1.230103499998222,imgBlue,0.011965039993810933,None,22.704795199999353,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
قرمز,blue,0,imgBlue,0,3,3,1,,,,,,,,,,,,,,23.737917599995853,None,23.737917599995853,None,23.737917599995853,None,23.737917599995853,None,23.737917599995853,None,0.062037037037037036,-0.16111111111111112,1,0,0,1.3560948000013013,imgYellow,0.005205039997235872,None,25.104210099998454,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
زرد,green,0,imgGreen,0,4,4,6,,,,,,,,,,,,,,26.138289999995322,None,26.138289999995322,None,26.138289999995322,None,26.138289999995322,None,26.138289999995322,None,0.03148148148148148,-0.16203703703703703,1,0,0,0.861069900005532,imgGreen,0.010772139998152852,None,27.003995499995654,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
سبز,green,1,imgGreen,0,5,5,4,,,,,,,,,,,,,,28.038117399999464,None,28.038117399999464,None,28.038117399999464,None,28.038117399999464,None,28.038117399999464,None,-0.012037037037037037,-0.15555555555555556,1,0,0,1.163576799997827,imgBlue,0.012670639996940736,None,29.85462379999808,None,d,d,d,d,001,2021_Jan_12_1437,stroopExperiment,2020.2.10,59.984260132494114,
