word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.437577000000601,None,12.437577000000601,None,0.025,-0.31851851851851853,1,0,0,0.9945537000003242,imgStart,0.010579340000731463,None,,,,,,,,,,,,,,,,,,,,,,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
سبز,green,1,imgGreen,0,0,0,4,,,,,,,,,,,,,,13.470766999999796,None,13.470766999999796,None,13.470766999999796,None,13.470766999999796,None,13.470766999999796,None,0.06481481481481481,-0.20277777777777778,1,0,0,1.3884814000002734,imgGreen,0.004001379999863275,None,14.90478179999991,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
آبی,red,0,imgRed,0,1,1,2,,,,,,,,,,,,,,15.936975100000382,None,15.936975100000382,None,15.936975100000382,None,15.936975100000382,None,15.936975100000382,None,-0.20833333333333334,-0.2111111111111111,1,0,0,1.0409075999996276,imgRed,0.005238140000983549,None,17.003499000000375,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
قرمز,red,1,imgRed,0,2,2,0,,,,,,,,,,,,,,18.037012400000094,None,18.037012400000094,None,18.037012400000094,None,18.037012400000094,None,18.037012400000094,None,-0.21296296296296297,-0.19814814814814816,1,0,0,0.8417984999996406,imgRed,0.007775740000397491,None,18.903224200000295,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
زرد,green,0,imgGreen,0,3,3,6,,,,,,,,,,,,,,19.936548100000437,None,19.936548100000437,None,19.936548100000437,None,19.936548100000437,None,19.936548100000437,None,0.04814814814814815,-0.17685185185185184,1,0,0,1.0112450000005992,imgGreen,0.009973540000828507,None,20.952971100000468,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
زرد,yellow,1,imgYellow,0,4,4,7,,,,,,,,,,,,,,21.986107300000185,None,21.986107300000185,None,21.986107300000185,None,21.986107300000185,None,21.986107300000185,None,0.1638888888888889,-0.17407407407407408,1,0,0,0.8971940999999788,imgYellow,0.012674739999965823,None,22.9029500000006,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
آبی,blue,1,imgBlue,0,5,5,3,,,,,,,,,,,,,,23.918955900000583,None,23.918955900000583,None,23.918955900000583,None,23.918955900000583,None,23.918955900000583,None,-0.12407407407407407,-0.18055555555555555,1,0,0,0.7150695000000269,imgBlue,0.013029939999796625,None,24.652156099999956,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
سبز,yellow,0,imgYellow,0,6,6,5,,,,,,,,,,,,,,25.668680499999937,None,25.668680499999937,None,25.668680499999937,None,25.668680499999937,None,25.668680499999937,None,0.18611111111111112,-0.1712962962962963,1,0,0,1.0479597000003196,imgYellow,0.012940540000272449,None,26.73569640000005,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
قرمز,blue,0,imgBlue,0,7,7,1,,,,,,,,,,,,,,27.751633900000343,None,27.751633900000343,None,27.751633900000343,None,27.751633900000343,None,27.751633900000343,None,-0.08425925925925926,-0.17314814814814813,1,0,0,0.715320199999951,imgBlue,0.013332339999578835,None,28.48570280000058,None,l,l,l,l,001,2021_Jan_12_1656,آزمون استروپ استاندارد,2020.2.10,60.012698687236664,
