word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.223637800000233,None,20.223637800000233,None,0.018518518518518517,-0.16666666666666666,1,0,0,2.334030700000312,imgStart,0.013441399999919668,None,,,,,,,,,,,,,,,a,A,,aa,001,2021_Jan_12_1631,آزمون استروپ استاندارد,2020.2.10,60.224891790901424,
سبز,yellow,0,imgYellow,0,0,0,5,,,,,,,,,,,,,,29.588933200000156,None,29.588933200000156,None,29.588933200000156,None,29.588933200000156,None,29.588933200000156,None,0.0011852600000565872,None,31.538852099999986,None,a,A,,aa,001,2021_Jan_12_1631,آزمون استروپ استاندارد,2020.2.10,60.224891790901424,
