word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.00764689999778,None,16.00764689999778,None,-0.011111111111111112,-0.3037037037037037,1,0,0,0.5872019000016735,imgStart,0.005602660006843507,None,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
سبز,green,1,imgGreen,0,0,0,4,,,,,,,,,,,,,,16.60854809999728,None,16.60854809999728,None,16.60854809999728,None,16.60854809999728,None,16.60854809999728,None,0.028703703703703703,-0.1527777777777778,1,0,0,0.9211080000022775,imgGreen,0.0032194200030062348,None,17.574139600001217,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
قرمز,blue,0,imgBlue,0,1,1,1,,,,,,,,,,,,,,18.607408199997735,None,18.607408199997735,None,18.607408199997735,None,18.607408199997735,None,18.607408199997735,None,-0.007407407407407408,-0.16018518518518518,1,0,0,1.1418518999998923,imgBlue,0.007878479998908006,None,19.774255500000436,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
زرد,yellow,1,imgYellow,0,2,2,7,,,,,,,,,,,,,,20.807498200003465,None,20.807498200003465,None,20.807498200003465,None,20.807498200003465,None,20.807498200003465,None,-0.006481481481481481,-0.16018518518518518,1,0,0,0.5116522000025725,imgBlue,0.008319880005728919,None,21.340225799998734,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
قرمز,red,1,imgRed,0,3,3,0,,,,,,,,,,,,,,22.35689409999759,None,22.35689409999759,None,22.35689409999759,None,22.35689409999759,None,22.35689409999759,None,-0.004629629629629629,-0.16018518518518518,1,0,0,0.6833570000017062,imgBlue,0.015947580002830364,None,23.056638200003363,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
آبی,red,0,imgRed,0,4,4,2,,,,,,,,,,,,,,24.090130800002953,None,24.090130800002953,None,24.090130800002953,None,24.090130800002953,None,24.090130800002953,None,-0.030555555555555555,-0.15555555555555556,1,0,0,1.128133699996397,imgRed,0.009558080004353542,None,25.23960960000113,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
سبز,yellow,0,imgYellow,0,5,5,5,,,,,,,,,,,,,,26.256013600002916,None,26.256013600002916,None,26.256013600002916,None,26.256013600002916,None,26.256013600002916,None,0.05925925925925926,-0.14722222222222223,1,0,0,1.129995899995265,imgYellow,0.012612380007340107,None,28.07238679999864,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
آبی,blue,1,imgBlue,0,6,6,3,,,,,,,,,,,,,,29.08884879999823,None,29.08884879999823,None,29.08884879999823,None,29.08884879999823,None,29.08884879999823,None,0.003703703703703704,-0.15462962962962962,1,0,0,1.064610299996275,imgBlue,0.012102580003556795,None,30.172080299998925,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
زرد,green,0,imgGreen,0,7,7,6,,,,,,,,,,,,,,31.188419400001294,None,31.188419400001294,None,31.188419400001294,None,31.188419400001294,None,31.188419400001294,None,0.003703703703703704,-0.15462962962962962,1,0,0,0.8328446000014083,imgBlue,0.014521380006044637,None,32.03894150000269,None,17,17,17,17,001,2021_Jan_12_1514,stroopExperiment,2020.2.10,60.036514209907445,
