word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.93491709999944,None,16.93491709999944,None,-0.014814814814814815,-0.2824074074074074,1,0,0,1.1043094999986351,imgStart,0.0038952499962761067,None,,,,,,,,,,,,,,,,,,,,,,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
سبز,green,1,imgGreen,0,0,0,4,,,,,,,,,,,,,,18.06798870000057,None,18.06798870000057,None,18.06798870000057,None,18.06798870000057,None,18.06798870000057,None,0.062037037037037036,-0.1537037037037037,1,0,0,0.84083180000016,imgYellow,0.00548507999337744,None,18.951963399995293,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
زرد,green,0,imgGreen,0,1,1,6,,,,,,,,,,,,,,19.984999699998298,None,19.984999699998298,None,19.984999699998298,None,19.984999699998298,None,19.984999699998298,None,0.03981481481481482,-0.16018518518518518,1,0,0,1.0758006000032765,imgGreen,0.00835083999845665,None,21.100870099995518,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
آبی,red,0,imgRed,0,2,2,2,,,,,,,,,,,,,,22.135174499999266,None,22.135174499999266,None,22.135174499999266,None,22.135174499999266,None,22.135174499999266,None,0.03981481481481482,-0.16018518518518518,1,0,0,0.5600753000035184,imgGreen,0.008227740006987005,None,22.7007225999987,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
قرمز,blue,0,imgBlue,0,3,3,1,,,,,,,,,,,,,,23.73383169999579,None,23.73383169999579,None,23.73383169999579,None,23.73383169999579,None,23.73383169999579,None,0.000925925925925926,-0.14907407407407408,1,0,0,0.9049053999988246,imgBlue,0.0038134399947011843,None,24.667636599995603,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
سبز,yellow,0,imgYellow,0,4,4,5,,,,,,,,,,,,,,25.68357329999708,None,25.68357329999708,None,25.68357329999708,None,25.68357329999708,None,25.68357329999708,None,-0.001851851851851852,-0.15648148148148147,1,0,0,0.7305701000004774,imgBlue,0.01253854000242427,None,26.434259299996484,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
آبی,blue,1,imgBlue,0,5,5,3,,,,,,,,,,,,,,27.449927699999535,None,27.449927699999535,None,27.449927699999535,None,27.449927699999535,None,27.449927699999535,None,-0.025925925925925925,-0.1574074074074074,1,0,0,0.5177239999975427,imgRed,0.01200104000599822,None,27.98412459999963,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
قرمز,red,1,imgRed,0,6,6,0,,,,,,,,,,,,,,29.033030400001735,None,29.033030400001735,None,29.033030400001735,None,29.033030400001735,None,29.033030400001735,None,-0.026851851851851852,-0.16018518518518518,1,0,0,1.1632131000005757,imgRed,0.01215443999535637,None,30.21620609999809,None,14,14,41,14,001,2021_Jan_12_1506,stroopExperiment,2020.2.10,60.054216944787996,
,,,,,,,,,,,,,,,,,,,,,31.24977349999972,None,31.24977349999972,None,31.24977349999972,None,31.24977349999972,None,31.24977349999972,None,,,,,,,,0.011826039997686166,2.023276640000404,,,,,,,,,,,,
