word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.92031660000066,None,16.92031660000066,None,-0.02962962962962963,-0.24259259259259258,1,0,0,0.9802139999956125,imgStart,0.015188339981250465,None,,,,,,,,,,,,,,,,,,,,,,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
زرد,yellow,1,imgYellow,0,0,0,7,,,,,,,,,,,,,,17.935435499995947,None,17.935435499995947,None,17.935435499995947,None,17.935435499995947,None,17.935435499995947,None,0.062037037037037036,-0.1574074074074074,1,0,0,0.9866105999972206,imgYellow,0.001767779998772312,None,18.968662499995844,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
زرد,green,0,imgGreen,0,1,1,6,,,,,,,,,,,,,,19.98519379999925,None,19.98519379999925,None,19.98519379999925,None,19.98519379999925,None,19.98519379999925,None,0.026851851851851852,-0.16018518518518518,1,0,0,1.1642068000001018,imgGreen,0.012450239992176648,None,21.185250999995333,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
قرمز,red,1,imgRed,0,2,2,0,,,,,,,,,,,,,,22.201450799999293,None,22.201450799999293,None,22.201450799999293,None,22.201450799999293,None,22.201450799999293,None,0.020370370370370372,-0.16018518518518518,1,0,0,0.9677728000024217,,0.016341939990525134,2.0151273399897036,24.217918599999393,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
سبز,green,1,imgGreen,0,3,3,4,,,,,,,,,,,,,,25.250944999999774,None,25.250944999999774,None,25.250944999999774,None,25.250944999999774,None,25.250944999999774,None,0.022222222222222223,-0.15925925925925927,1,0,0,1.050994699995499,imgGreen,0.01669125999615062,None,26.317635399995197,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
آبی,blue,1,imgBlue,0,4,4,3,,,,,,,,,,,,,,27.35068719999981,None,27.35068719999981,None,27.35068719999981,None,27.35068719999981,None,27.35068719999981,None,-0.006481481481481481,-0.15555555555555556,1,0,0,1.3275178999974742,imgBlue,0.009686239995062351,None,28.683586099999957,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
سبز,yellow,0,imgYellow,0,5,5,5,,,,,,,,,,,,,,29.700182199994742,None,29.700182199994742,None,29.700182199994742,None,29.700182199994742,None,29.700182199994742,None,0.058333333333333334,-0.15555555555555556,1,0,0,1.3131595999948331,imgYellow,0.012989839997317176,None,31.03353480000078,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
آبی,red,0,imgRed,0,6,6,2,,,,,,,,,,,,,,32.04981659999612,None,32.04981659999612,None,32.04981659999612,None,32.04981659999612,None,32.04981659999612,None,0.05648148148148148,-0.15555555555555556,1,0,0,1.5477655000067898,imgYellow,0.012801539989595767,None,33.61681929999759,None,e,e,e,e,001,2021_Jan_12_1435,stroopExperiment,2020.2.10,60.60088198556763,
,,,,,,,,,,,,,,,,,,,,,34.633629799995106,None,34.633629799995106,None,34.633629799995106,None,34.633629799995106,None,34.633629799995106,None,,,,,,,,9.452000085730106e-05,1.9995114200064563,,,,,,,,,,,,
