word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.18357339999784,None,12.18357339999784,None,-0.021296296296296296,-0.262037037037037,1,0,0,1.260553100000834,imgStart,0.007730229990556836,None,,,,,,,,,,,,,,,,,,,,,,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
آبی,blue,1,imgBlue,0,0,0,3,,,,,,,,,,,,,,13.483356599994295,None,13.483356599994295,None,13.483356599994295,None,13.483356599994295,None,13.483356599994295,None,-0.001851851851851852,-0.1574074074074074,1,0,0,0.9885331000041333,imgBlue,0.0023664399996050633,None,14.48432579999644,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
قرمز,blue,0,imgBlue,0,1,1,1,,,,,,,,,,,,,,15.533822199999122,None,15.533822199999122,None,15.533822199999122,None,15.533822199999122,None,15.533822199999122,None,0.030555555555555555,-0.1574074074074074,1,0,0,1.0062983999960124,imgGreen,0.004749019994051196,None,16.53295159999834,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
آبی,red,0,imgRed,0,2,2,2,,,,,,,,,,,,,,17.549419700000726,None,17.549419700000726,None,17.549419700000726,None,17.549419700000726,None,17.549419700000726,None,0.06666666666666667,-0.1574074074074074,1,0,0,1.2796347999974387,imgYellow,0.012283119998755865,None,18.84936619999644,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
سبز,yellow,0,imgYellow,0,3,3,5,,,,,,,,,,,,,,19.899058099996182,None,19.899058099996182,None,19.899058099996182,None,19.899058099996182,None,19.899058099996182,None,0.06666666666666667,-0.1574074074074074,1,0,0,0.6937768999996479,imgYellow,0.007799730003171135,None,20.6162228999965,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
زرد,green,0,imgGreen,0,4,4,6,,,,,,,,,,,,,,21.648870799996075,None,21.648870799996075,None,21.648870799996075,None,21.648870799996075,None,21.648870799996075,None,0.06759259259259259,-0.1574074074074074,1,0,0,0.9777391000025091,imgYellow,0.009631219996663276,None,22.63196039999457,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
سبز,green,1,imgGreen,0,5,5,4,,,,,,,,,,,,,,23.64841599999636,None,23.64841599999636,None,23.64841599999636,None,23.64841599999636,None,23.64841599999636,None,0.06759259259259259,-0.1574074074074074,1,0,0,0.7811090999966837,imgYellow,0.012428219997673295,None,24.431660599999304,None,M,M,M,M,001,2021_Jan_12_1414,stroopExperiment,2020.2.10,60.48461483138845,
